CustomerKey,GeographyKey,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer
11060,40,M,M,80000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,61,1
11061,23,M,M,80000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,61,1
11062,547,M,M,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,40,1
11063,634,S,F,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,40,1
11064,315,M,M,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,39,1
11065,331,M,F,60000,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,North America,41,0
11066,543,M,F,70000,0,0,Partial College,Professional,1,2,5-10 Miles,North America,41,0
11067,632,S,M,60000,0,0,Partial College,Professional,1,2,5-10 Miles,North America,38,0
11068,40,S,F,80000,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,59,0
11069,23,S,F,80000,2,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,59,1
11070,39,M,M,80000,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,60,1
11071,24,S,F,80000,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,60,0
11072,17,S,F,80000,2,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,60,1
11073,16,S,F,70000,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,59,0
11074,28,S,M,70000,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,59,0
11075,32,S,F,80000,2,0,High School,Professional,1,2,5-10 Miles,Pacific,57,1
11076,19,S,M,80000,2,0,High School,Professional,1,2,5-10 Miles,Pacific,58,1
11077,36,S,F,80000,2,0,High School,Professional,0,2,1-2 Miles,Pacific,57,1
11078,49,S,F,40000,0,0,High School,Professional,0,2,1-2 Miles,North America,41,0
11079,34,S,M,160000,0,0,Graduate Degree,Management,1,2,0-1 Miles,Pacific,56,0
11080,30,M,M,170000,0,0,Graduate Degree,Management,1,2,0-1 Miles,Pacific,56,1
11081,311,M,F,120000,2,2,Bachelors,Management,1,3,2-5 Miles,North America,49,0
11082,322,S,F,130000,0,1,Graduate Degree,Management,0,3,1-2 Miles,North America,49,1
11083,336,M,F,130000,0,1,Graduate Degree,Management,1,3,1-2 Miles,North America,49,1
11084,543,S,M,80000,2,0,Partial High School,Skilled Manual,0,2,1-2 Miles,North America,58,1
11085,345,S,F,60000,2,0,High School,Professional,0,2,5-10 Miles,North America,58,0
11086,369,M,M,70000,2,1,Partial College,Professional,1,0,0-1 Miles,North America,57,0
11087,307,M,F,70000,3,2,Partial College,Professional,0,0,0-1 Miles,North America,57,0
11088,359,M,M,80000,2,1,Bachelors,Management,1,0,2-5 Miles,North America,57,1
11089,337,S,F,80000,2,1,Bachelors,Management,1,1,2-5 Miles,North America,58,1
11090,338,S,M,90000,2,0,Partial College,Professional,1,1,2-5 Miles,North America,57,1
11091,50,M,M,90000,2,0,Partial College,Professional,1,1,5-10 Miles,North America,58,0
11092,22,M,F,90000,2,2,Bachelors,Professional,1,0,1-2 Miles,Pacific,48,1
11093,19,M,F,100000,0,0,Graduate Degree,Management,1,0,0-1 Miles,Pacific,48,1
11094,33,S,M,70000,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,53,0
11095,13,S,M,70000,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,53,1
11096,12,M,M,60000,1,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,53,1
11097,40,M,M,60000,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,53,1
11098,14,S,F,60000,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,54,0
11099,13,M,M,60000,1,0,Bachelors,Professional,1,1,0-1 Miles,Pacific,54,1
11100,28,S,F,60000,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,54,1
11101,33,S,F,70000,0,0,Bachelors,Professional,0,1,0-1 Miles,Pacific,50,1
11102,18,S,F,80000,5,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,50,0
11103,3,S,F,70000,0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,50,1
11104,23,M,M,70000,0,0,Bachelors,Professional,0,1,0-1 Miles,Pacific,51,1
11105,8,S,F,70000,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,50,1
11106,40,S,M,70000,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,51,1
11107,17,M,F,90000,1,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,56,1
11108,13,S,F,70000,0,0,Bachelors,Professional,0,2,0-1 Miles,Pacific,52,1
11109,38,S,M,70000,0,0,Bachelors,Professional,0,2,0-1 Miles,Pacific,51,1
11110,3,M,M,60000,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,53,1
11111,34,M,F,60000,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,Pacific,53,1
11112,25,M,F,60000,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,Pacific,53,1
11113,30,M,M,70000,5,4,Bachelors,Professional,1,2,5-10 Miles,Pacific,53,0
11114,14,S,F,70000,5,4,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,53,0
11115,17,M,M,70000,5,4,Partial College,Skilled Manual,1,2,0-1 Miles,Pacific,53,0
11116,18,M,M,70000,5,4,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,52,0
11117,8,M,F,70000,5,4,Partial College,Skilled Manual,1,3,10+ Miles,Pacific,54,1
11118,6,S,M,80000,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,58,0
11119,13,S,M,30000,2,0,Partial College,Clerical,0,2,0-1 Miles,Pacific,80,0
11120,18,S,F,40000,2,0,Bachelors,Management,1,1,5-10 Miles,Pacific,79,1
11121,10,M,M,70000,5,4,Partial College,Skilled Manual,1,3,10+ Miles,Pacific,54,0
11122,12,M,M,70000,5,4,Partial College,Skilled Manual,1,3,5-10 Miles,Pacific,55,0
11123,39,M,M,70000,5,4,Partial College,Skilled Manual,1,3,10+ Miles,Pacific,55,0
11124,40,S,M,80000,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,58,1
11125,37,S,F,70000,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,59,0
11126,11,M,M,10000,2,1,High School,Skilled Manual,0,2,0-1 Miles,Pacific,66,1
11127,361,M,F,40000,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,39,0
11128,635,M,F,40000,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,39,0
11129,638,S,F,40000,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,40,1
11130,543,M,F,30000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,35,0
11131,50,M,F,30000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,35,0
11132,51,S,F,30000,0,0,High School,Skilled Manual,0,2,5-10 Miles,North America,34,1
11133,542,S,F,30000,0,0,Partial High School,Clerical,0,2,0-1 Miles,North America,35,0
11134,30,S,M,10000,5,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,69,1
11135,302,S,M,30000,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,35,1
11136,53,S,F,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,36,1
11137,641,M,F,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,37,0
11138,325,M,F,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,36,0
11139,28,S,F,30000,2,0,Partial College,Clerical,0,2,5-10 Miles,Pacific,76,0
11140,301,S,M,30000,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,38,0
11141,314,M,F,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,38,0
11142,51,S,M,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,38,0
11143,334,M,M,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,38,0
11144,607,S,M,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,36,1
11145,536,S,F,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,35,1
11146,8,S,F,40000,2,0,Bachelors,Management,1,2,5-10 Miles,Pacific,76,0
11147,40,M,M,60000,2,0,Graduate Degree,Management,1,1,0-1 Miles,Pacific,76,1
11148,22,M,M,40000,2,0,Bachelors,Management,1,2,5-10 Miles,Pacific,74,0
11149,25,M,M,40000,2,0,Bachelors,Management,1,2,0-1 Miles,Pacific,74,0
11150,39,S,M,40000,2,0,Bachelors,Management,1,2,5-10 Miles,Pacific,74,0
11151,18,S,F,60000,2,0,Graduate Degree,Management,0,1,0-1 Miles,Pacific,73,1
11152,633,S,M,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,39,1
11153,635,M,F,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,39,0
11154,553,S,F,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,39,1
11155,301,S,M,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,39,1
11156,334,S,F,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,39,1
11157,642,M,F,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,40,0
11158,361,S,M,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,39,1
11159,385,S,F,40000,0,0,High School,Skilled Manual,0,2,1-2 Miles,North America,39,0
11160,311,S,M,40000,0,0,Partial College,Skilled Manual,0,1,5-10 Miles,North America,41,1
11161,311,S,F,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,41,0
11162,331,S,M,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,41,1
11163,372,M,M,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,40,0
11164,374,S,M,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,41,0
11165,348,M,F,60000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,42,0
11166,631,S,F,70000,0,0,Partial College,Skilled Manual,0,2,0-1 Miles,North America,43,0
11167,618,S,F,80000,0,0,Bachelors,Management,0,1,0-1 Miles,North America,43,1
11168,348,S,M,80000,0,0,Bachelors,Management,0,1,0-1 Miles,North America,47,1
11169,312,M,M,90000,4,4,Bachelors,Management,1,1,0-1 Miles,North America,47,0
11170,612,M,F,90000,4,4,Bachelors,Management,1,1,0-1 Miles,North America,47,0
11171,385,S,M,100000,1,0,Bachelors,Management,1,2,1-2 Miles,North America,47,1
11172,626,M,F,100000,1,0,Bachelors,Management,1,2,1-2 Miles,North America,47,0
11173,552,S,F,110000,0,0,Graduate Degree,Management,0,4,0-1 Miles,North America,48,0
11174,338,M,M,110000,0,1,Graduate Degree,Management,1,0,2-5 Miles,North America,48,0
11175,300,S,M,70000,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,52,1
11176,50,M,M,90000,4,4,Bachelors,Management,1,1,1-2 Miles,North America,47,0
11177,359,M,M,110000,2,4,Graduate Degree,Management,1,2,5-10 Miles,North America,73,0
11178,334,M,M,100000,2,3,Graduate Degree,Management,1,3,1-2 Miles,North America,72,0
11179,300,M,F,120000,2,4,Graduate Degree,Management,1,3,5-10 Miles,North America,72,0
11180,307,M,F,160000,1,3,Bachelors,Management,1,4,0-1 Miles,North America,72,0
11181,338,M,M,170000,2,3,Graduate Degree,Management,1,2,0-1 Miles,North America,72,0
11182,638,S,F,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,71,0
11183,368,S,F,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,71,0
11184,311,S,F,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,70,0
11185,53,S,F,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,70,0
11186,352,S,F,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,71,0
11187,612,M,F,60000,4,0,Graduate Degree,Management,1,2,10+ Miles,North America,71,0
11188,361,M,F,60000,4,0,Graduate Degree,Management,0,2,1-2 Miles,North America,71,0
11189,609,S,M,60000,4,0,Graduate Degree,Management,1,2,10+ Miles,North America,71,1
11190,300,M,M,70000,5,0,Bachelors,Management,1,2,10+ Miles,North America,71,0
11191,310,S,F,70000,5,0,Bachelors,Management,1,3,10+ Miles,North America,69,1
11192,637,M,M,60000,4,0,Bachelors,Management,1,2,2-5 Miles,North America,69,0
11193,553,M,M,60000,4,0,Bachelors,Management,1,2,2-5 Miles,North America,70,0
11194,352,M,F,60000,4,0,Bachelors,Management,1,2,2-5 Miles,North America,70,0
11195,635,M,F,60000,5,0,Bachelors,Management,1,3,10+ Miles,North America,69,0
11196,536,M,M,60000,5,0,Bachelors,Management,1,3,10+ Miles,North America,69,0
11197,637,M,F,70000,3,1,Bachelors,Management,0,1,1-2 Miles,North America,69,0
11198,368,S,F,70000,4,1,Bachelors,Management,1,1,10+ Miles,North America,68,0
11199,302,M,F,70000,4,1,Bachelors,Management,1,1,10+ Miles,North America,68,0
11200,69,M,M,70000,4,1,Bachelors,Management,1,1,1-2 Miles,North America,67,0
11201,369,M,F,70000,4,1,Bachelors,Management,1,1,10+ Miles,North America,68,0
11202,334,M,F,80000,5,0,Bachelors,Management,0,2,1-2 Miles,North America,68,0
11203,60,M,M,40000,2,1,High School,Professional,1,2,10+ Miles,North America,67,0
11204,536,M,F,40000,2,1,High School,Professional,1,2,2-5 Miles,North America,67,0
11205,612,M,F,40000,2,1,High School,Professional,1,2,10+ Miles,North America,67,0
11206,626,M,M,60000,2,1,Partial College,Professional,1,1,10+ Miles,North America,66,0
11207,635,S,F,60000,2,1,Partial College,Professional,1,1,10+ Miles,North America,67,0
11208,325,M,F,60000,2,1,Bachelors,Management,1,0,10+ Miles,North America,67,0
11209,336,M,F,60000,2,1,Bachelors,Management,1,0,10+ Miles,North America,67,0
11210,383,M,M,70000,4,1,Partial College,Professional,1,2,10+ Miles,North America,67,0
11211,50,M,F,40000,2,1,High School,Professional,1,2,2-5 Miles,North America,65,0
11212,53,M,F,40000,2,1,High School,Professional,1,2,2-5 Miles,North America,65,0
11213,614,S,F,60000,2,1,Partial College,Professional,1,2,10+ Miles,North America,66,0
11214,545,S,M,60000,2,1,Partial College,Professional,1,2,10+ Miles,North America,65,0
11215,62,M,F,40000,2,1,Partial High School,Skilled Manual,1,2,10+ Miles,North America,65,0
11216,547,S,F,60000,2,1,Partial College,Professional,1,2,10+ Miles,North America,65,1
11217,547,S,F,60000,2,1,Partial College,Professional,1,2,10+ Miles,North America,65,1
11218,642,S,F,60000,2,1,Partial College,Professional,0,2,2-5 Miles,North America,65,0
11219,553,M,M,60000,2,1,High School,Professional,1,2,10+ Miles,North America,64,0
11220,310,M,F,60000,2,1,Partial College,Professional,1,1,10+ Miles,North America,65,0
11221,334,M,M,70000,4,2,Partial College,Professional,1,1,1-2 Miles,North America,65,0
11222,369,M,F,80000,3,1,Bachelors,Management,1,1,1-2 Miles,North America,65,0
11223,52,S,F,70000,2,1,High School,Professional,1,2,2-5 Miles,North America,63,0
11224,612,S,F,70000,2,1,High School,Professional,1,2,10+ Miles,North America,64,1
11225,635,M,F,60000,2,1,Partial College,Professional,1,1,10+ Miles,North America,64,0
11226,552,M,F,60000,2,1,Partial College,Professional,1,1,2-5 Miles,North America,63,0
11227,310,S,M,60000,2,1,Partial College,Professional,1,2,10+ Miles,North America,64,1
11228,316,M,F,60000,2,1,Partial College,Professional,1,2,10+ Miles,North America,64,0
11229,355,S,M,70000,4,2,Partial College,Professional,1,1,10+ Miles,North America,63,0
11230,369,M,F,70000,4,2,Partial College,Professional,0,2,2-5 Miles,North America,64,0
11231,611,M,M,60000,2,1,High School,Professional,1,2,10+ Miles,North America,62,0
11232,616,M,F,60000,3,1,High School,Professional,0,2,2-5 Miles,North America,62,0
11233,299,M,M,70000,4,2,Partial College,Professional,1,2,10+ Miles,North America,63,0
11234,337,S,F,70000,4,2,Partial College,Professional,1,2,10+ Miles,North America,62,0
11235,607,M,M,70000,4,2,Partial College,Professional,1,2,10+ Miles,North America,63,0
11236,609,S,M,70000,5,2,Partial College,Professional,1,2,10+ Miles,North America,63,0
11237,161,S,M,130000,2,3,Bachelors,Management,0,4,0-1 Miles,Europe,56,1
11238,232,S,F,130000,2,3,Bachelors,Management,0,4,0-1 Miles,Europe,57,1
11239,249,M,F,130000,2,4,Partial College,Professional,0,2,5-10 Miles,Europe,56,1
11240,273,M,F,160000,2,3,Partial College,Professional,1,4,5-10 Miles,Europe,56,1
11241,211,S,F,100000,2,3,Partial College,Professional,1,4,5-10 Miles,Europe,57,1
11242,209,M,M,110000,2,4,Partial College,Professional,1,3,5-10 Miles,Europe,57,1
11243,237,M,F,150000,2,3,Partial College,Professional,1,3,0-1 Miles,Europe,57,1
11244,267,S,F,170000,2,3,Bachelors,Management,0,3,0-1 Miles,Europe,57,1
11245,132,M,M,120000,3,4,High School,Professional,0,4,5-10 Miles,Europe,58,1
11246,147,M,F,120000,3,4,High School,Professional,0,4,5-10 Miles,Europe,58,1
11247,242,S,F,130000,3,4,Partial College,Professional,0,3,0-1 Miles,Europe,59,1
11248,223,M,M,110000,3,4,Partial College,Professional,1,4,10+ Miles,Europe,60,0
11249,178,M,F,130000,3,4,Partial College,Professional,1,3,0-1 Miles,Europe,60,1
11250,276,M,F,170000,3,4,High School,Professional,1,2,5-10 Miles,Europe,60,1
11251,50,S,M,30000,4,0,High School,Professional,0,2,5-10 Miles,North America,83,1
11252,335,S,M,90000,3,0,Graduate Degree,Management,1,1,2-5 Miles,North America,83,1
11253,69,M,M,60000,2,0,Graduate Degree,Management,1,2,1-2 Miles,North America,82,0
11254,612,M,M,70000,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,82,0
11255,612,M,M,70000,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,82,0
11256,626,M,F,70000,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,81,0
11257,345,S,F,120000,1,2,Graduate Degree,Management,1,4,2-5 Miles,North America,82,1
11258,352,M,M,120000,1,2,Graduate Degree,Management,1,4,2-5 Miles,North America,82,0
11259,548,M,F,100000,4,1,Partial College,Professional,1,4,2-5 Miles,North America,50,1
11260,302,M,F,110000,2,2,Bachelors,Management,1,3,2-5 Miles,North America,50,0
11261,359,M,F,130000,1,2,Graduate Degree,Management,1,1,0-1 Miles,North America,50,1
11262,60,M,F,80000,4,3,Bachelors,Management,1,0,0-1 Miles,North America,51,0
11263,612,M,F,90000,5,5,Partial College,Professional,1,3,2-5 Miles,North America,51,1
11264,618,S,M,90000,5,5,Partial College,Professional,0,3,0-1 Miles,North America,51,1
11265,623,M,F,90000,5,5,Partial College,Professional,1,3,0-1 Miles,North America,51,1
11266,632,S,F,90000,0,0,Partial College,Professional,0,1,5-10 Miles,North America,51,1
11267,302,S,M,120000,4,2,Partial College,Professional,1,4,2-5 Miles,North America,50,1
11268,312,M,F,130000,2,2,Graduate Degree,Management,1,2,1-2 Miles,North America,51,0
11269,314,M,M,130000,2,2,Graduate Degree,Management,1,2,0-1 Miles,North America,50,0
11270,334,M,M,130000,2,2,Graduate Degree,Management,1,3,0-1 Miles,North America,51,1
11271,360,S,F,150000,2,0,Bachelors,Management,0,4,1-2 Miles,North America,51,1
11272,300,S,F,70000,4,3,Partial College,Professional,1,0,5-10 Miles,North America,58,1
11273,331,M,M,90000,2,1,Partial College,Professional,1,0,10+ Miles,North America,58,0
11274,609,M,M,50000,2,0,Graduate Degree,Management,1,2,5-10 Miles,North America,81,1
11275,310,M,F,80000,4,0,Graduate Degree,Management,1,2,0-1 Miles,North America,81,1
11276,49,M,F,80000,4,3,Partial College,Professional,1,2,2-5 Miles,North America,51,0
11277,62,M,M,80000,4,3,Partial College,Professional,1,2,0-1 Miles,North America,52,0
11278,614,S,M,90000,0,0,Partial College,Professional,0,1,10+ Miles,North America,52,1
11279,616,M,F,90000,0,0,Partial College,Professional,1,1,10+ Miles,North America,52,0
11280,626,M,M,90000,0,0,Partial College,Professional,1,1,10+ Miles,North America,52,0
11281,301,S,F,110000,4,2,Bachelors,Management,1,4,5-10 Miles,North America,51,1
11282,612,M,M,90000,5,4,Partial College,Professional,1,4,1-2 Miles,North America,53,1
11283,299,M,M,110000,1,3,Bachelors,Management,1,2,1-2 Miles,North America,52,0
11284,307,M,F,110000,1,3,Bachelors,Management,1,2,1-2 Miles,North America,53,0
11285,322,M,M,120000,1,3,Partial College,Professional,0,4,2-5 Miles,North America,53,0
11286,374,M,M,170000,0,0,Graduate Degree,Management,1,4,2-5 Miles,North America,53,1
11287,49,M,M,70000,5,4,Partial College,Professional,0,3,5-10 Miles,North America,54,0
11288,301,M,F,110000,1,3,Bachelors,Management,1,3,2-5 Miles,North America,53,0
11289,315,M,F,130000,1,3,Bachelors,Management,1,1,0-1 Miles,North America,54,1
11290,334,M,F,130000,1,3,Bachelors,Management,1,3,2-5 Miles,North America,54,1
11291,335,M,F,130000,1,3,Bachelors,Management,1,3,2-5 Miles,North America,54,1
11292,361,S,M,150000,1,2,Partial College,Professional,0,3,0-1 Miles,North America,53,1
11293,632,S,M,60000,2,0,High School,Professional,0,2,1-2 Miles,North America,60,0
11294,618,M,M,60000,2,0,High School,Professional,0,2,1-2 Miles,North America,60,0
11295,311,S,F,80000,2,0,Partial High School,Skilled Manual,1,2,5-10 Miles,North America,61,1
11296,616,S,F,50000,2,0,Graduate Degree,Management,1,2,5-10 Miles,North America,79,1
11297,301,S,M,70000,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,80,1
11298,307,M,M,70000,4,0,Graduate Degree,Management,1,2,1-2 Miles,North America,80,1
11299,301,M,M,70000,4,0,Graduate Degree,Management,1,2,1-2 Miles,North America,79,1
